Code,Year,Prevalence - Schizophrenia - Sex: Both - Age: Age-standardized (Percent),Prevalence - Bipolar disorder - Sex: Both - Age: Age-standardized (Percent),Prevalence - Eating disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Anxiety disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Drug use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Depressive disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Alcohol use disorders - Sex: Both - Age: Age-standardized (Percent),Prevalence - Mental disorders - Sex: Both - Age: Age-standardized (Percent)
AGO,2012,0.22,0.56,0.13,4.04,0.35,5.84,1.1,13.37
AGO,2013,0.22,0.56,0.13,4.04,0.35,5.84,1.1,13.35
AGO,2014,0.22,0.56,0.14,4.04,0.35,5.84,1.1,13.35
AGO,2015,0.22,0.56,0.14,4.04,0.35,5.85,1.09,13.35
AGO,2016,0.22,0.56,0.14,4.04,0.35,5.85,1.08,13.35
AGO,2017,0.22,0.56,0.14,4.04,0.36,5.86,1.07,13.36
AGO,2018,0.22,0.56,0.14,4.03,0.36,5.86,1.08,13.35
AGO,2019,0.22,0.56,0.14,4.01,0.36,5.86,1.1,13.34
ATG,1990,0.29,0.98,0.24,4.45,0.8,3.14,2.02,14.03
ATG,1991,0.3,0.98,0.25,4.44,0.81,3.11,1.98,13.98
ATG,1992,0.3,0.98,0.25,4.43,0.81,3.08,1.95,13.95
ATG,1993,0.3,0.98,0.25,4.43,0.81,3.06,1.92,13.92
ATG,1994,0.3,0.99,0.26,4.43,0.82,3.04,1.91,13.89
ATG,1995,0.3,0.99,0.26,4.43,0.82,3.04,1.9,13.89
ATG,1996,0.3,0.99,0.26,4.44,0.82,3.04,1.91,13.89
ATG,1997,0.3,0.99,0.26,4.45,0.82,3.05,1.93,13.9
ATG,1998,0.3,0.99,0.26,4.46,0.82,3.06,1.96,13.92
ATG,1999,0.3,0.99,0.26,4.47,0.82,3.07,1.98,13.93
ATG,2000,0.3,0.99,0.26,4.47,0.83,3.08,1.99,13.94
ATG,2001,0.3,0.99,0.27,4.47,0.83,3.08,1.99,13.94
ATG,2002,0.3,0.99,0.27,4.47,0.83,3.09,1.97,13.95
ATG,2003,0.3,0.99,0.27,4.47,0.83,3.09,1.95,13.95
ATG,2004,0.3,0.99,0.27,4.46,0.83,3.09,1.94,13.95
ATG,2005,0.3,0.99,0.27,4.46,0.83,3.08,1.94,13.95
ATG,2006,0.3,0.99,0.27,4.46,0.83,3.07,1.96,13.95
ATG,2007,0.3,0.99,0.28,4.47,0.83,3.04,2,13.94
ATG,2008,0.3,0.99,0.28,4.48,0.83,3.01,2.04,13.93
ATG,2009,0.3,0.99,0.28,4.49,0.83,2.99,2.08,13.93
ATG,2010,0.3,0.99,0.28,4.5,0.83,2.98,2.11,13.93
ATG,2011,0.3,0.99,0.28,4.5,0.83,2.98,2.13,13.94
ATG,2012,0.3,0.99,0.28,4.52,0.83,3,2.15,13.97
ATG,2013,0.3,0.99,0.28,4.53,0.83,3.02,2.16,14.01
ATG,2014,0.3,0.99,0.28,4.54,0.83,3.04,2.17,14.04
ATG,2015,0.3,0.99,0.28,4.54,0.83,3.05,2.17,14.06
ATG,2016,0.3,0.99,0.28,4.54,0.83,3.05,2.11,14.06
ATG,2017,0.3,0.99,0.28,4.54,0.83,3.05,2.06,14.06
ATG,2018,0.3,0.99,0.28,4.54,0.83,3.09,2.05,14.1
ATG,2019,0.3,0.99,0.28,4.54,0.83,3.17,2.05,14.18
ARG,1990,0.33,1.03,0.3,5.35,0.68,2.74,2.52,13.74
ARG,1991,0.33,1.03,0.3,5.36,0.69,2.74,2.55,13.75
ARG,1992,0.33,1.04,0.3,5.36,0.7,2.75,2.58,13.76
ARG,1993,0.33,1.04,0.31,5.37,0.7,2.76,2.6,13.77
ARG,1994,0.33,1.04,0.31,5.37,0.71,2.77,2.62,13.78
ARG,1995,0.33,1.04,0.31,5.38,0.71,2.78,2.62,13.78
ARG,1996,0.33,1.04,0.31,5.39,0.71,2.78,2.62,13.79
ARG,1997,0.33,1.04,0.32,5.4,0.7,2.79,2.6,13.8
ARG,1998,0.33,1.04,0.32,5.42,0.69,2.79,2.58,13.81
ARG,1999,0.33,1.05,0.33,5.43,0.69,2.8,2.57,13.81
ARG,2000,0.33,1.05,0.33,5.44,0.68,2.8,2.56,13.82
ARG,2001,0.33,1.05,0.33,5.44,0.68,2.81,2.55,13.84
ARG,2002,0.33,1.07,0.33,5.45,0.69,2.81,2.53,13.85
ARG,2003,0.33,1.09,0.32,5.45,0.7,2.81,2.5,13.88
ARG,2004,0.33,1.11,0.32,5.46,0.71,2.82,2.48,13.9
ARG,2005,0.33,1.11,0.32,5.46,0.71,2.82,2.46,13.9
ARG,2006,0.33,1.11,0.32,5.43,0.72,2.79,2.42,13.86
ARG,2007,0.33,1.11,0.33,5.38,0.73,2.73,2.38,13.76
ARG,2008,0.33,1.11,0.33,5.31,0.74,2.67,2.32,13.64
ARG,2009,0.33,1.11,0.33,5.26,0.74,2.61,2.28,13.54
ARG,2010,0.33,1.11,0.34,5.24,0.75,2.59,2.26,13.5
ARG,2011,0.34,1.11,0.34,5.25,0.75,2.59,2.25,13.51
ARG,2012,0.34,1.11,0.34,5.27,0.75,2.59,2.25,13.52
ARG,2013,0.34,1.12,0.35,5.29,0.75,2.6,2.25,13.55
ARG,2014,0.34,1.12,0.35,5.31,0.75,2.6,2.25,13.56
ARG,2015,0.34,1.12,0.35,5.32,0.75,2.61,2.25,13.58
ARG,2016,0.34,1.12,0.36,5.34,0.74,2.6,2.23,13.59
ARG,2017,0.34,1.12,0.36,5.35,0.74,2.6,2.21,13.6
ARG,2018,0.34,1.12,0.36,5.36,0.74,2.6,2.23,13.6
ARG,2019,0.33,1.12,0.36,5.36,0.74,2.59,2.28,13.6
ARM,1990,0.29,0.57,0.11,3.28,0.48,2.99,2.51,11.27
ARM,1991,0.29,0.57,0.11,3.28,0.49,2.97,2.5,11.32
ARM,1992,0.29,0.57,0.1,3.29,0.5,2.96,2.49,11.36
ARM,1993,0.29,0.57,0.1,3.29,0.5,2.95,2.49,11.4
ARM,1994,0.29,0.57,0.1,3.29,0.5,2.94,2.49,11.43
ARM,1995,0.29,0.57,0.1,3.3,0.5,2.94,2.49,11.46
ARM,1996,0.29,0.57,0.1,3.3,0.5,2.94,2.5,11.5
ARM,1997,0.29,0.57,0.1,3.31,0.5,2.96,2.52,11.54
ARM,1998,0.29,0.57,0.09,3.32,0.5,2.97,2.54,11.59
ARM,1999,0.29,0.57,0.09,3.32,0.5,2.99,2.56,11.62
ARM,2000,0.29,0.57,0.09,3.33,0.5,3,2.56,11.64
ARM,2001,0.29,0.57,0.1,3.33,0.5,3.01,2.53,11.65
ARM,2002,0.29,0.57,0.1,3.34,0.51,3.02,2.45,11.63
ARM,2003,0.29,0.57,0.1,3.35,0.51,3.04,2.35,11.59
ARM,2004,0.29,0.57,0.1,3.35,0.51,3.05,2.26,11.55
ARM,2005,0.29,0.58,0.11,3.36,0.51,3.06,2.22,11.52
ARM,2006,0.3,0.58,0.11,3.36,0.52,3.07,2.21,11.49
ARM,2007,0.3,0.58,0.11,3.36,0.52,3.07,2.21,11.45
ARM,2008,0.3,0.58,0.12,3.36,0.52,3.08,2.2,11.41
ARM,2009,0.3,0.58,0.12,3.35,0.52,3.08,2.2,11.38
ARM,2010,0.3,0.58,0.12,3.35,0.53,3.08,2.19,11.36
ARM,2011,0.3,0.58,0.12,3.36,0.53,3.09,2.16,11.36
ARM,2012,0.3,0.58,0.13,3.36,0.53,3.11,2.11,11.36
ARM,2013,0.3,0.58,0.13,3.36,0.53,3.13,2.05,11.36
ARM,2014,0.3,0.58,0.13,3.36,0.54,3.14,1.99,11.37
ARM,2015,0.3,0.58,0.13,3.36,0.54,3.15,1.97,11.37
ARM,2016,0.3,0.58,0.13,3.36,0.55,3.16,1.97,11.37
ARM,2017,0.3,0.58,0.13,3.36,0.55,3.16,1.99,11.37
ARM,2018,0.3,0.58,0.13,3.36,0.55,3.17,2.05,11.37
ARM,2019,0.3,0.58,0.13,3.37,0.55,3.19,2.14,11.38
AUS,1990,0.42,1.21,0.78,6.24,2.48,4.78,1.78,18.69
AUS,1991,0.42,1.22,0.79,6.16,2.48,4.82,1.83,18.7
AUS,1992,0.42,1.22,0.79,6.09,2.48,4.87,1.86,18.71
AUS,1993,0.43,1.22,0.8,6.02,2.47,4.9,1.9,18.71
AUS,1994,0.43,1.22,0.8,5.95,2.47,4.93,1.93,18.7
AUS,1995,0.43,1.23,0.81,5.9,2.47,4.96,1.95,18.69
AUS,1996,0.43,1.22,0.81,5.84,2.45,4.96,1.96,18.63
AUS,1997,0.42,1.22,0.83,5.76,2.42,4.94,1.97,18.52
AUS,1998,0.42,1.22,0.84,5.69,2.39,4.92,1.97,18.41
AUS,1999,0.42,1.21,0.85,5.63,2.36,4.9,1.98,18.33
AUS,2000,0.42,1.21,0.86,5.61,2.34,4.92,1.98,18.32
AUS,2001,0.42,1.21,0.89,5.66,2.33,4.98,1.96,18.45
AUS,2002,0.42,1.22,0.93,5.78,2.33,5.07,1.93,18.69
AUS,2003,0.42,1.23,0.98,5.92,2.33,5.17,1.88,18.97
AUS,2004,0.43,1.23,1.02,6.04,2.33,5.25,1.84,19.21
AUS,2005,0.43,1.24,1.04,6.1,2.33,5.29,1.82,19.32
AUS,2006,0.43,1.24,1.06,6.11,2.33,5.28,1.83,19.34
AUS,2007,0.43,1.24,1.06,6.12,2.35,5.26,1.85,19.34
AUS,2008,0.43,1.24,1.07,6.14,2.36,5.22,1.87,19.33
AUS,2009,0.43,1.23,1.08,6.16,2.37,5.18,1.89,19.31
AUS,2010,0.43,1.23,1.09,6.16,2.38,5.15,1.9,19.29
AUS,2011,0.43,1.23,1.09,6.15,2.38,5.11,1.92,19.25
AUS,2012,0.43,1.23,1.1,6.12,2.37,5.07,1.95,19.19
AUS,2013,0.42,1.23,1.1,6.08,2.35,5.03,1.98,19.12
AUS,2014,0.42,1.23,1.11,6.05,2.33,4.98,2.01,19.05
AUS,2015,0.42,1.23,1.11,6.05,2.31,4.95,2.02,19.01
AUS,2016,0.42,1.22,1.11,6.17,2.33,4.83,2.01,18.98
AUS,2017,0.42,1.22,1.11,6.3,2.36,4.73,2,18.96
AUS,2018,0.42,1.23,1.12,6.34,2.38,4.75,2.01,19.07
AUS,2019,0.43,1.24,1.14,6.41,2.4,4.83,2.05,19.35
AUT,1990,0.3,0.98,0.46,6.24,0.94,3.96,2.66,15.94
AUT,1991,0.3,0.98,0.46,6.28,0.95,3.95,2.67,15.96
AUT,1992,0.3,0.99,0.47,6.31,0.96,3.94,2.68,15.98
AUT,1993,0.3,0.99,0.48,6.33,0.97,3.93,2.7,15.99
AUT,1994,0.3,0.99,0.48,6.34,0.98,3.91,2.71,15.98
AUT,1995,0.3,0.99,0.49,6.35,0.99,3.89,2.72,15.97
AUT,1996,0.3,0.99,0.5,6.34,1,3.86,2.77,15.95
AUT,1997,0.3,0.99,0.5,6.33,1,3.82,2.85,15.9
AUT,1998,0.3,0.99,0.51,6.32,1.01,3.77,2.95,15.85
AUT,1999,0.3,0.99,0.52,6.3,1.02,3.73,3.04,15.79
AUT,2000,0.3,0.99,0.52,6.3,1.04,3.69,3.09,15.76
AUT,2001,0.3,0.99,0.53,6.3,1.06,3.66,3.1,15.73
AUT,2002,0.3,0.99,0.54,6.32,1.1,3.62,3.11,15.72
AUT,2003,0.3,0.99,0.55,6.33,1.14,3.58,3.12,15.7
AUT,2004,0.3,0.99,0.56,6.35,1.17,3.55,3.13,15.68
AUT,2005,0.3,0.99,0.56,6.36,1.19,3.52,3.13,15.67
AUT,2006,0.3,0.99,0.57,6.38,1.18,3.49,3.13,15.66
AUT,2007,0.3,0.99,0.58,6.4,1.17,3.45,3.14,15.66
AUT,2008,0.3,0.99,0.59,6.43,1.16,3.42,3.13,15.65
AUT,2009,0.3,0.99,0.6,6.45,1.15,3.39,3.13,15.66
AUT,2010,0.3,0.99,0.6,6.47,1.14,3.38,3.12,15.66
AUT,2011,0.3,0.99,0.61,6.48,1.15,3.38,3.08,15.67
AUT,2012,0.3,0.99,0.61,6.49,1.16,3.39,3,15.69
AUT,2013,0.3,0.99,0.61,6.51,1.18,3.4,2.9,15.71
AUT,2014,0.3,0.99,0.62,6.52,1.19,3.41,2.82,15.73
AUT,2015,0.3,0.99,0.62,6.53,1.21,3.41,2.78,15.74
AUT,2016,0.3,0.99,0.61,6.55,1.21,3.41,2.78,15.77
AUT,2017,0.3,0.99,0.61,6.58,1.2,3.41,2.78,15.79
AUT,2018,0.3,0.99,0.61,6.58,1.19,3.42,2.77,15.8
AUT,2019,0.3,0.99,0.62,6.58,1.16,3.42,2.76,15.82
AZE,1990,0.29,0.55,0.13,2.66,0.45,2.9,2.44,10.49
AZE,1991,0.29,0.55,0.13,2.66,0.44,2.87,2.46,10.49
AZE,1992,0.29,0.55,0.12,2.66,0.45,2.85,2.48,10.51
AZE,1993,0.29,0.55,0.12,2.66,0.44,2.84,2.5,10.53
AZE,1994,0.29,0.55,0.12,2.66,0.44,2.82,2.51,10.56
AZE,1995,0.29,0.55,0.11,2.66,0.44,2.82,2.52,10.6
AZE,1996,0.29,0.55,0.11,2.66,0.44,2.81,2.53,10.66
AZE,1997,0.29,0.55,0.11,2.67,0.44,2.81,2.54,10.74
AZE,1998,0.28,0.55,0.1,2.67,0.44,2.81,2.56,10.82
AZE,1999,0.28,0.55,0.1,2.67,0.44,2.81,2.57,10.88
AZE,2000,0.28,0.55,0.1,2.67,0.44,2.82,2.58,10.91
AZE,2001,0.28,0.55,0.1,2.68,0.44,2.82,2.58,10.91
AZE,2002,0.28,0.55,0.1,2.68,0.44,2.83,2.56,10.9
AZE,2003,0.29,0.55,0.1,2.68,0.44,2.84,2.55,10.89
AZE,2004,0.29,0.55,0.1,2.69,0.44,2.85,2.53,10.87
AZE,2005,0.29,0.55,0.11,2.69,0.45,2.85,2.53,10.84
AZE,2006,0.29,0.55,0.11,2.69,0.45,2.85,2.54,10.78
AZE,2007,0.29,0.55,0.12,2.69,0.45,2.84,2.58,10.7
AZE,2008,0.29,0.55,0.12,2.69,0.45,2.84,2.62,10.61
AZE,2009,0.29,0.55,0.13,2.69,0.46,2.83,2.66,10.53
AZE,2010,0.3,0.55,0.14,2.69,0.46,2.83,2.69,10.48
AZE,2011,0.3,0.55,0.14,2.69,0.46,2.84,2.68,10.45
AZE,2012,0.3,0.56,0.14,2.68,0.46,2.85,2.65,10.44
AZE,2013,0.3,0.56,0.15,2.68,0.46,2.87,2.6,10.43
AZE,2014,0.3,0.56,0.15,2.67,0.47,2.88,2.57,10.42
AZE,2015,0.3,0.56,0.15,2.67,0.47,2.89,2.56,10.41
AZE,2016,0.3,0.56,0.15,2.66,0.47,2.89,2.57,10.4
AZE,2017,0.3,0.56,0.15,2.65,0.48,2.89,2.61,10.39
AZE,2018,0.3,0.56,0.15,2.64,0.48,2.91,2.68,10.4
AZE,2019,0.3,0.56,0.15,2.64,0.48,2.94,2.79,10.42
BHS,1990,0.3,0.94,0.3,4.45,0.98,3.23,1.89,14.04
BHS,1991,0.3,0.94,0.3,4.44,0.98,3.2,1.86,14.01
BHS,1992,0.3,0.94,0.3,4.43,0.98,3.17,1.84,13.99
BHS,1993,0.3,0.94,0.3,4.42,0.99,3.15,1.82,13.97
BHS,1994,0.3,0.94,0.3,4.42,0.99,3.14,1.82,13.95
BHS,1995,0.3,0.94,0.3,4.42,0.99,3.13,1.82,13.95
BHS,1996,0.3,0.94,0.3,4.42,0.99,3.13,1.83,13.96
BHS,1997,0.3,0.94,0.3,4.43,1,3.14,1.86,13.97
