Entity,Year,gini,reporting_gdp
Ecuador,2005,0.530584801,4892.691322
Ecuador,2006,0.522514048,5023.291052
Ecuador,2007,0.533634508,5048.144555
Ecuador,2008,0.497934696,5280.71364
Ecuador,2009,0.485059901,5224.838337
Ecuador,2010,0.488044339,5323.737482
Ecuador,2011,0.458774819,5654.92807
Ecuador,2012,0.461219409,5885.099861
Ecuador,2013,0.468649031,6084.443907
Ecuador,2014,0.449950496,6218.239195
Ecuador,2015,0.459542949,6124.490887
Ecuador,2016,0.450200688,5947.00199
Ecuador,2017,0.446730295,5981.132618
Ecuador,2018,0.454402996,5952.218084
Ecuador,2019,0.457115331,5853.81306
Ecuador,2020,0.473112741,5317.677257
Ecuador - urban,1987,0.504919651,4136.933598
Ecuador - urban,1995,0.509650726,4414.928258
Ecuador - urban,1998,0.4965703,4543.999832
Egypt,1990,0.32003941,2039.852078
Egypt,1995,0.301269603,2216.948207
Egypt,1999,0.327615026,2556.229183
Egypt,2004,0.318475454,2794.458283
Egypt,2008,0.311024361,3336.028058
Egypt,2010,0.301914577,3478.940246
Egypt,2012,0.282922028,3470.308563
Egypt,2015,0.318233581,3600.913793
Egypt,2017,0.315339528,3771.901744
El Salvador,1991,0.53951898,2409.031402
El Salvador,1995,0.498797371,2839.205247
El Salvador,1996,0.509821756,2831.387605
El Salvador,1998,0.545157114,2941.940446
El Salvador,1999,0.52197689,2981.341729
El Salvador,2000,0.514743677,2992.900789
El Salvador,2001,0.513704391,2999.323904
El Salvador,2002,0.518704917,3028.546202
El Salvador,2003,0.504976926,3059.566387
El Salvador,2004,0.478196845,3071.545804
El Salvador,2005,0.484849325,3140.032963
El Salvador,2006,0.456925592,3261.763941
El Salvador,2007,0.452179942,3308.049627
El Salvador,2008,0.46885679,3364.100436
El Salvador,2009,0.458250861,3280.020388
El Salvador,2010,0.435141284,3334.932842
El Salvador,2011,0.4231836,3447.350131
El Salvador,2012,0.418292768,3528.867124
El Salvador,2013,0.43358963,3591.427069
El Salvador,2014,0.415598414,3636.010312
El Salvador,2015,0.405519418,3705.579704
El Salvador,2016,0.399785802,3781.378574
El Salvador,2017,0.380071879,3846.973934
El Salvador,2018,0.386105712,3920.526278
